file,input_path,output_path,total_records,kept_records,dropped_records
opt_query_bert_chinese_lap_full_pred.jsonl,postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_lap_full_pred.jsonl,300,262,38
opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_chinese_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_chinese_res_full_pred.jsonl,300,271,29
opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_lap_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_lap_full_pred.jsonl,300,258,42
opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/data/opt_query_bert_multilingual_res_full_pred.jsonl,/workspace/postpreprocess/clean/opt_query_bert_multilingual_res_full_pred.jsonl,300,279,21
subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_lap.jsonl,300,255,45
subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/data/subtask_3-bert_E1B1_res.jsonl,/workspace/postpreprocess/clean/subtask_3-bert_E1B1_res.jsonl,300,283,17
subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/data/subtask_3-chinese_E1B1_lap.jsonl,/workspace/postpreprocess/clean/subtask_3-chinese_E1B1_lap.jsonl,300,264,36
